Site;TipoNome;Estado;Municipio;Endereço;Técnico;Matrícula;Dono;Ano_Mes;id_anomes_site
BRK BJ;CDMA;CE;BARREIRA;RUA BRUNILO JACO, S/N SESSENTA;Romulo Santos de Maria;92051351.0;COMPARTILHADO;202210;202210BRK BJ
CED JÁ;CDMA;CE;CEDRO;ALAMEDA JOSÉ QUINTINO, 350 BARRA DO PRADO;Francisco José da Silva;92570070.0;CLARO;202210;202210CED JÁ
FLA 0AH;CDMA;CE;FORTALEZA;RUA ADOLFO HERBSTER, 144 BENFICA;Rogério Santos da Silva;92426517.0;COMPARTILHADO;202210;202210FLA 0AH
FLA GSJ;CDMA;CE;FORTALEZA;R GEN SILVA JUNIOR, 623 FATIMA;Rogério Santos da Silva;92426517.0;COMPARTILHADO;202210;202210FLA GSJ
FLA BC2;CDMA;CE;FORTALEZA;RUA MAJOR FACUNDO, 906 CENTRO;Renato Dupas Batista;32002881.0;CLARO;202210;202210FLA BC2
COZ KB;CDMA;CE;CROATÁ;RODOVIA CE 213, S/N ZONA RURAL;Haroldo Vasconcelos Furtado;92051384.0;Embratel;202210;202210COZ KB
CTS CF;CDMA;CE;CRATEÚS;RUA SIQUEIRA CAMPOS, S/N FATIMA I;José Helder Vieira;92040489.0;CLARO;202210;202210CTS CF
TIG SM;CDMA;CE;TIANGUÁ;RODOVIA BR 222, KM 307 CENTRO;Haroldo Vasconcelos Furtado;92051384.0;COMPARTILHADO;202210;202210TIG SM
ICO CH;CDMA;CE;ICÓ;RODOVIA CE 282, S/N ZONA RURAL;Francisco José da Silva;92570070.0;COMPARTILHADO;202210;202210ICO CH
MGS CH;CDMA;CE;MILAGRES;RODOVIA BR 116, KM 487 BR;Rafael Lima Aurelio;92290040.0;COMPARTILHADO;202210;202210MGS CH
BTT;CDMA;CE;BATURITÉ;AVENIDA 15 DE NOVEMBRO, S/N CENTRO;Romulo Santos de Maria;92051351.0;COMPARTILHADO;202210;202210BTT
JNE JP;CDMA;CE;JUAZEIRO DO NORTE;RUA JOSÉ PEREIRA DA SILVA, 33 TRIANGULO;Rafael Lima Aurelio;92290040.0;COMPARTILHADO;202210;202210JNE JP
ESB AEQ;CDMA;CE;EUSÉBIO;AVENIDA EUSÉBIO DE QUEIROZ, S/N CENTRO;Livio do Carmo Farias;92026301.0;CLARO;202210;202210ESB AEQ
FLA JN;CDMA;CE;FORTALEZA;RUA JOAQUIM NABUCO, 1330 ALDEOTA;Sergio Caetano de Oliveira;93294465.0;COMPARTILHADO;202210;202210FLA JN
FLA PFU;CDMA;CE;FORTALEZA;AVENIDA SANTOS DUMONT, S/N MANOEL DIAS BRANCO;Renato Dupas Batista;32002881.0;CLARO;202210;202210FLA PFU
GRN CF;CDMA;CE;GUARACIABA DO NORTE;RUA CAPITÃO FERREIRA, S/N SANTA LUZIA;Haroldo Vasconcelos Furtado;92051384.0;CLARO;202210;202210GRN CF
PCAL SP;CDMA;CE;GUARAMIRANGA;ESTRADA DO PICO ALTO, S/N ZONA RURAL;Romulo Santos de Maria;92051351.0;COMPARTILHADO;202210;202210PCAL SP
IAU DR;CDMA;CE;IGUATU;AVENIDA DARIO RABELO, S/N SANTO ANTONIO;Francisco José da Silva;92570070.0;COMPARTILHADO;202210;202210IAU DR
IOP ANB;CDMA;CE;ITAPIPOCA;RUA ANASTACIO BRAGA, 296 CENTRO;Daniel Maciel Nascimento;92397206.0;COMPARTILHADO;202210;202210IOP ANB
FLA006;CDMA;CE;FORTALEZA;RUA AZEVEDO BOLÃO, 279 PARQUE ARAXA;Rogério Santos da Silva;92426517.0;CLARO;202210;202210FLA006
QXA RM;CDMA;CE;QUIXADÁ;RUA RUY MAIA, 341 CENTRO;Gilmar Lima Pereira;92025454.0;COMPARTILHADO;202210;202210QXA RM
LDNO KA;CDMA;CE;QUIXADÁ;ESTRADA DOM MAURÍCIO, S/N ZONA RURAL;Gilmar Lima Pereira;92025454.0;CLARO;202210;202210LDNO KA
QXM RPS;CDMA;CE;QUIXERAMOBIM;RUA RAFAEL PORDEUS, S/N CENTRO;Gilmar Lima Pereira;92025454.0;CLARO;202210;202210QXM RPS
RUS CAD;CDMA;CE;RUSSAS;AVENIDA CORONEL ANTONIO CORDEIRO, S/N ZONA RURAL;Gilmar Lima Pereira;92025454.0;COMPARTILHADO;202210;202210RUS CAD
SGA RIA;CDMA;CE;SÃO GONÇALO DO AMARANTE;RUA CORONEL BARROSO, 213 CENTRO;Daniel Maciel Nascimento;92397206.0;CLARO;202210;202210SGA RIA
PECE RL;CDMA;CE;SÃO GONÇALO DO AMARANTE;RUA RAIMUNDO LAUREANO, S/N PRAIA DE PECEM;Daniel Maciel Nascimento;92397206.0;CLARO;202210;202210PECE RL
SOL AF;CDMA;CE;SOBRAL;RUA ANTÔNIO FÉLIX IBIAPINA, S/N ALTO DO CRISTO;Fernando Vasconcelos Carvalho;32022038.0;COMPARTILHADO;202210;202210SOL AF
JAIB KA;CDMA;CE;SOBRAL;RODOVIA BR 222, S/N ZONA RURAL (JAIBARAS);Fernando Vasconcelos Carvalho;32022038.0;COMPARTILHADO;202210;202210JAIB KA
URM RC;CDMA;CE;UMIRIM;RUA RODOVIA BR 222, S/N ZONA RURAL;Daniel Maciel Nascimento;92397206.0;COMPARTILHADO;202210;202210URM RC
CEZ EZ;CDMA;RN;CEL. EZEQUIEL;EST CORONEL EZEQUIEL, KM4 SITIO TRONCO EZEQUIEL;Ronaldo Rodrigues da Cruz;93275423.0;Embratel;202210;202210CEZ EZ
CGB JAB;CDMA;PE;CAMARAGIBE;R JOAO ALVES DE BARROS, S/N TIMBI;;0.0;ATC;202210;202210CGB JAB
CGB MD;CDMA;PE;CAMARAGIBI;R MARIA DAS DORES DA SILVA, S/N CENTRO;;0.0;Embratel;202210;202210CGB MD
CGE BVA;CDMA;PB;CAMPINA GRANDE;R DR JOSE AUGUSTO RIBEIRO, 155 BODOCONGO;ERIK DE ARAUJO DELMIRO;92416604.0;Embratel;202210;202210CGE BVA
CGE CAT;CDMA;PB;CAMPINA GRANDE;#N/DISP Erro:504, Erro:504 Erro:504;ERIK DE ARAUJO DELMIRO;92416604.0;Embratel;202210;202210CGE CAT
CGE DIA;CDMA;PB;CAMPINA GRANDE;#N/DISP Erro:504, Erro:504 Erro:504;ERIK DE ARAUJO DELMIRO;92416604.0;Embratel;202210;202210CGE DIA
CGE JLP;CDMA;PB;CAMPINA GRANDE;R CORONEL JOAO LOURENCO PORTO, S/N CENTRO;ERIK DE ARAUJO DELMIRO;92416604.0;Embratel;202210;202210CGE JLP
CGE JMM;CDMA;PB;CAMPINA GRANDE;R AGRO JOAO MAURICIO MEDEIROS, S/N MONTE SANTO;ERIK DE ARAUJO DELMIRO;92416604.0;Embratel;202210;202210CGE JMM
CGE VZ;CDMA;PB;CAMPINA GRANDE;R CAP ADEMAR MAIA PAIVA, S/N ALTO BRANCO;ERIK DE ARAUJO DELMIRO;92416604.0;TIM;202210;202210CGE VZ
CIE RPB;CDMA;CE;CANIDÉ;R PAULINO BARROSO, 2040 CENTRO;;0.0;Embratel;202210;202210CIE RPB
CNU PR;CDMA;RN;CARNAUBAS;R FRANCISCO RAPOSO, 100 CENTRO;Ricardo Bezerra Silva;92279287.0;Embratel;202210;202210CNU PR
COO CBB;CDMA;PE;Cabrobó;R JOAQUIM VENÂNCIO DE MENEZES, S/N CENTRO;;0.0;Celpe;202210;202210COO CBB
COS KB;CDMA;CE;SÃO GONÇALO DO AMARANTE;Erro:504 Erro:504, Erro:504 Erro:504;;0.0;Embratel;202210;202210COS KB
CRA JPM;CDMA;PI;Campo Maior/Pi;R JOSE PAULINO DE ALMEIDA, 845 CENTRO;Jonatas Rego da Silva;92282177.0;Embratel;202210;202210CRA JPM
CRU BJE;CDMA;PE;CARUARU;MRO BOM JESUS, S/N CENTRO;;0.0;Embratel;202210;202210CRU BJE
CRU CPD;CDMA;PE;CARUARU;R CAPITAO DE, S/N INDIANOPOLIS;;0.0;Embratel;202210;202210CRU CPD
CRU LTR;CDMA;PE;CARUARU;R LAURA TORRES, S/N RENDEIRAS;;0.0;ATC;202210;202210CRU LTR
CRU VP;CDMA;PE;CARUARU;R DA PROSPERIDADE, S/N SALGADO;;0.0;Embratel;202210;202210CRU VP
CRU VX;CDMA;PE;CARUARU;R SILVEIRA MARTINS, S/N PETROPOLIS;;0.0;Embratel;202210;202210CRU VX
CTO CCA;CDMA;CE;CRATO;AV DUQUE DE CAXIAS, 714 CENTRO;;0.0;Embratel;202210;202210CTO CCA
CTO MRT;CDMA;CE;CRATO;AV PADRE CICERO, 3270 SAO MIGUEL;;0.0;Embratel;202210;202210CTO MRT
CUC BIB;CDMA;CE;CAUCAIA;R BR DE IBIAPABA, 636 CENTRO;;0.0;Embratel;202210;202210CUC BIB
CUC BQ;CDMA;CE;CAUCAIA;EST BR 222 KM 24, S/N BOQUEIRAO;;0.0;Embratel;202210;202210CUC BQ
CUC SDL;CDMA;CE;CAUCAIA;Erro:504 Erro:504, Erro:504 Erro:504;;0.0;Embratel;202210;202210CUC SDL
CUC VB;CDMA;CE;CAUCAIA;R ANDIRA, 1610 PARQUE GUADALAJARA;Rogério Santos da Silva;92426517.0;Embratel;202210;202210CUC VB
CUC VC;CDMA;CE;CAUCAIA;AV AIRTON SENNA, S/N ARIANOPOLIS;Rogério Santos da Silva;92426517.0;Embratel;202210;202210CUC VC
CXS VO;CDMA;PI;Caxias/Ma;#N/DISP Erro:504, Erro:504 Erro:504;;0.0;Embratel;202210;202210CXS VO
CZPE CP;CDMA;CE;IGUATU;Rod CE 282, S/N CRUZ DE PEDRAS;;0.0;Embratel;202210;202210CZPE CP
ENA PL;CDMA;PI;Esperantina/Pi;R PATRIOTINO LAGES, S/N LUIZ MACHADO;;0.0;Embratel;202210;202210ENA PL
FEN MF;CDMA;PE;FERNANDO DE NORONHA;MRO DO FRANCES, S/N ZONA RURAL;;0.0;Embratel;202210;202210FEN MF
FLA 0DC;CDMA;CE;FORTALEZA;AV ALVARO CORREIA, 122 VARJOTA;Sergio Caetano de Oliveira;93294465.0;Embratel;202210;202210FLA 0DC
FLA 0PA;CDMA;CE;FORTALEZA;R PADRE MORORO, 1297 CENTRO;Rogério Santos da Silva;92426517.0;Embratel;202210;202210FLA 0PA
FLA 0PB;CDMA;CE;FORTALEZA;R ENFO JOAQUIM PINTO, S/N CAJAZEIRAS;;0.0;T4U;202210;202210FLA 0PB
FLA 0VC;CDMA;CE;FORTALEZA;AV DA ABOLICAO, 2324 MEIRELES;Sergio Caetano de Oliveira;93294465.0;Embratel;202210;202210FLA 0VC
FLA 0VD;CDMA;CE;FORTALEZA;R TAVARES COUTINHO, 2250 VARJOTA;Sergio Caetano de Oliveira;93294465.0;Embratel;202210;202210FLA 0VD
FLA 0VI;CDMA;CE;FORTALEZA;R VICENTE LINHARES, 1415 ALDEOTA;Sergio Caetano de Oliveira;93294465.0;Embratel;202210;202210FLA 0VI
FLA 0VJ;CDMA;CE;FORTALEZA;R JOSE ODERNES FIGUEIREDO, 82 JOAQUIM TAVORA;Sergio Caetano de Oliveira;93294465.0;Embratel;202210;202210FLA 0VJ
FLA 0VT;CDMA;CE;FORTALEZA;R DA FELICIDADE, 353 DIONISIO TORRES;Rogério Santos da Silva;92426517.0;Embratel;202210;202210FLA 0VT
FLA 0VW;CDMA;CE;FORTALEZA;R PROF COSTA MENDES, 1803 RODOLFO TEOFILO;Rogério Santos da Silva;92426517.0;Embratel;202210;202210FLA 0VW
FLA 3IA;CDMA;CE;FORTALEZA;R MOACIR, 265 BARRA DO CEARA;;0.0;TIM (FLBC 01);202210;202210FLA 3IA
FLA 3QK;CDMA;CE;FORTALEZA;AV EDILSON BRASIL SOARES, 1966 EDSON QUEIROZ;Livio do Carmo Farias;92026301.0;TIM (FLEQ 00);202210;202210FLA 3QK
FLA 3UK;CDMA;CE;FORTALEZA;R Rua Olímpio Leite, 200 CAMBEBA;;0.0;Embratel;202210;202210FLA 3UK
FLA 4DF;CDMA;CE;FORTALEZA;R Marquês de Sapucaí, 70 Conjunto Palmeiras;Sergio Caetano de Oliveira;93294465.0;TIM (FLJS 00);202210;202210FLA 4DF
FLA 4FP;CDMA;CE;FORTALEZA;R DR FERNANDO AUGUSTO, S/N BOM JARDIM;Francisco Carlos da Silva;92025419.0;TIM (FLGL 00);202210;202210FLA 4FP
FLA AA;CDMA;CE;FORTALEZA;R JOSE EUCLIDES, 160 FATIMA;;0.0;Embratel;202210;202210FLA AA
FLA AC;CDMA;CE;FORTALEZA;R DNA LEOPOLDINA, 1481 CENTRO;Sergio Caetano de Oliveira;93294465.0;Embratel;202210;202210FLA AC
FLA AF;CDMA;CE;FORTALEZA;AV RUI BARBOSA, 1450 ALDEOTA;Sergio Caetano de Oliveira;93294465.0;Embratel;202210;202210FLA AF
FLA AI;CDMA;CE;FORTALEZA;R ASSIS CHATEAUBRIAND, 22 DIONISIO TORRES;Sergio Caetano de Oliveira;93294465.0;Embratel;202210;202210FLA AI
FLA AJL;CDMA;CE;FORTALEZA;AV JOSE LEON, S/N CIDADE DOS FUNCIONARIOS;Livio do Carmo Farias;92026301.0;Embratel;202210;202210FLA AJL
FLA AWS;CDMA;CE;FORTALEZA;AV WASHINGTON SOARES, 250 EDSON QUEIROZ;;0.0;Embratel;202210;202210FLA AWS
FLA BM;CDMA;CE;FORTALEZA;R OSVALDO CRUZ, 1 MEIRELES;;0.0;Embratel;202210;202210FLA BM
FLA CBM;CDMA;CE;FORTALEZA;AV BEZERRA DE MENEZES, 2071 SAO GERARDO;;0.0;Embratel;202210;202210FLA CBM
FLA CCL;CDMA;CE;FORTALEZA;AV CESAR CALS, 130 VICENTE PINZON;;0.0;ATC (FOR010AT);202210;202210FLA CCL
FLA CCV;CDMA;CE;FORTALEZA;AV CORONEL CARVALHO, 2176 JARDIM IRACEMA;;0.0;Embratel;202210;202210FLA CCV
FLA CJ;CDMA;CE;FORTALEZA;AV SENADOR CARLOS JEREISSATI, 3000 SERRINHA;;0.0;Embratel;202210;202210FLA CJ
FLA CLB;CDMA;CE;FORTALEZA;AV DA UNIVERSIDADE, 3264 BENFICA;;0.0;Embratel;202210;202210FLA CLB
FLA CT;CDMA;CE;FORTALEZA;R ISMAEL PORDEUS, 1079 VICENTE PINZON;;0.0;Embratel;202210;202210FLA CT
FLA EB;CDMA;CE;FORTALEZA;R COSTA BARROS, 915 CENTRO;;0.0;Embratel;202210;202210FLA EB
FLA EM;CDMA;CE;FORTALEZA;AV DOM LUIS, 176 MEIRELES;;0.0;Embratel;202210;202210FLA EM
FLA GM;CDMA;CE;FORTALEZA;AV GODOFREDO MACIEL, 2199 PARANGABA;;0.0;Embratel;202210;202210FLA GM
FLA GRO;CDMA;CE;FORTALEZA;R GUILHERME ROCHA, 1380 CENTRO;;0.0;Embratel;202210;202210FLA GRO
FLA HC;CDMA;CE;FORTALEZA;AV JULIO ABREU, 160 VARJOTA;;0.0;Embratel;202210;202210FLA HC
FLA HFE;CDMA;CE;FORTALEZA;R PROFA HELOISA FERREIRA LIMA, 199 SERRINHA;Francisco Carlos da Silva;92025419.0;Embratel;202210;202210FLA HFE
FLA HS;CDMA;CE;FORTALEZA;AV SARGENTO HERMINIO SAMPAIO, 2148 MONTE CASTELO;;0.0;Embratel;202210;202210FLA HS
FLA JB0;CDMA;CE;FORTALEZA;R JULIO BRAGA, SN BONSUCESSO;Francisco Carlos da Silva;92025419.0;TIM (FLJA 00);202210;202210FLA JB0
FLA JFL;CDMA;CE;FORTALEZA;R JOAQUIM FELÍCIO, 419 MESSEJANA;Livio do Carmo Farias;92026301.0;Embratel;202210;202210FLA JFL
FLA JNM;CDMA;CE;FORTALEZA;R JORN NERTAN MACEDO, S/N PAPICU;Sergio Caetano de Oliveira;93294465.0;Embratel;202210;202210FLA JNM
FLA LT0;CDMA;CE;FORTALEZA;R LARGO DO TANQUE, SN CONJUNTO ESPERANCA;Francisco Carlos da Silva;92025419.0;TIM (FLCS 00);202210;202210FLA LT0
FLA MAL;CDMA;CE;FORTALEZA;AV MIN ALBUQUERQUE LIMA, 894 CONJUNTO CEARA;;0.0;Embratel;202210;202210FLA MAL
FLA MH;CDMA;CE;FORTALEZA;AV DA UNIVERSIDADE, 2083 BENFICA;Sergio Caetano de Oliveira;93294465.0;Embratel;202210;202210FLA MH
FLA MPL;CDMA;CE;FORTALEZA;AV MOZART PINHEIRO DE LUCENA, S/N QUINTINO CUNHA;Rogério Santos da Silva;92426517.0;TIM (FLQC 00);202210;202210FLA MPL
FLA MSS;CDMA;CE;FORTALEZA;R CORONEL GUILHERME ALENCAR, 51 MESSEJANA;;0.0;Embratel;202210;202210FLA MSS
FLA MT;CDMA;CE;FORTALEZA;AV MONSENHOR TABOSA, 111 CENTRO;;0.0;Embratel;202210;202210FLA MT
FLA OLP;CDMA;CE;FORTALEZA;AV OLIVEIRA PAIVA, 201 CIDADE DOS FUNCIONARIOS;;0.0;Embratel;202210;202210FLA OLP
FLA PAR;CDMA;CE;FORTALEZA;R PARA, S/N DEMOCRITO ROCHA;Rogério Santos da Silva;92426517.0;TIM (FLPN 01);202210;202210FLA PAR
FLA PHC;CDMA;CE;FORTALEZA;R PROF HERIBALDO COSTA, 1590 HENRIQUE JORGE;;0.0;Embratel;202210;202210FLA PHC
FLA PJN;CDMA;CE;FORTALEZA;R PRIMEIRO DE JANEIRO, 90 MARAPONGA;Francisco Carlos da Silva;92025419.0;TIM (FLMP 00);202210;202210FLA PJN
FLA PML;CDMA;CE;FORTALEZA;R POE MARIO LINHARES, 821 PREFEITO JOSE WALTER;;0.0;Embratel;202210;202210FLA PML
FLA RBR;CDMA;CE;FORTALEZA;Erro:504 Erro:504, Erro:504 Erro:504;;0.0;Embratel;202210;202210FLA RBR
FLA RMA;CDMA;CE;FORTALEZA;R ROMEU MARTINS, 855 MONTESE;;0.0;Embratel;202210;202210FLA RMA
FLA VE;CDMA;CE;FORTALEZA;AV BEZERRA DE MENEZES, 2204 SAO GERARDO;Rogério Santos da Silva;92426517.0;Embratel;202210;202210FLA VE
FLA VRB;CDMA;CE;FORTALEZA;AV VISCONDE DO RIO BRANCO, 6134 ALTO DA BALANCA;;0.0;Embratel;202210;202210FLA VRB
FLA WS;CDMA;CE;FORTALEZA;AV WASHINGTON SOARES, 1400 EDSON QUEIROZ;;0.0;Embratel;202210;202210FLA WS
FLO BFS;CDMA;PI;Floriano/Pi;R BENJAMIN FREITAS, S/N CENTRO;José Carlos Silva Sousa;92049189.0;Embratel;202210;202210FLO BFS
FXS CT;CDMA;AL;FLEXEIRAS;RODOVIA BR 101, S/N ZONA RURAL;;0.0;EMBRATEL;202210;202210FXS CT
GBI EP;CDMA;PB;GUARABIRA;ROD BR-55, KM 5 ESTRADA DE GUARABIRA;;0.0;Embratel;202210;202210GBI EP
GRN SI;CDMA;CE;GUARACIABA DO NORTE;SIT SANTA ISABEL, S/N ZONA RURAL;;0.0;TIM;202210;202210GRN SI
GUS AB;CDMA;PE;GARANHUNS;AV ARY BARROSO, S/N CENTRO;;0.0;Embratel;202210;202210GUS AB
GUS AM;CDMA;PE;GARANHUNS;FAZ BELA VISTA, S/N ALTO MANGANO;;0.0;Embratel;202210;202210GUS AM
HZT ER;CDMA;CE;HORIZONTE;R FRANCISCO DIASSIS DE SOUSA, SN ZONA RURAL;;0.0;Embratel;202210;202210HZT ER
HZT JUC;CDMA;CE;HORIZONTE;AV JUVENAL DE CASTRO, 175 CENTRO;;0.0;Embratel;202210;202210HZT JUC
ICO IS;CDMA;CE;ICO;R ILIDIO SAMPAIO, S/N CENTRO;;0.0;Embratel;202210;202210ICO IS
IGE DF;CDMA;CE;ITAPAJE;R 2 DE FEVEREIRO, 309 CENTRO;;0.0;Embratel;202210;202210IGE DF
IPJ CIS;CDMA;PE;IPOJUCA;PTO ZONA INDUSTRIAL PORTUARIA DE SUAPE, S/N SUAPE;;0.0;Embratel;202210;202210IPJ CIS
IPJ SUP;CDMA;PE;IPOJUCA;AV PORTUARIA, S/N SUAPE;;0.0;TIM;202210;202210IPJ SUP
ISS RR;CDMA;PE;IGARASSU;R FRANCA, 14 PARQUE RESIDENCIAL REDENCAO;;0.0;Embratel;202210;202210ISS RR
JBO AMS;CDMA;PE;JABOATÃO;AV GOV AGAMENON MAGALHAES, 1191 JANGADINHA;;0.0;Embratel;202210;202210JBO AMS
JBO LS;CDMA;PE;JABOATÃO;R Cinqüenta e Seis (Ur-11), S/N Zumbi do Pacheco;;0.0;TIM;202210;202210JBO LS
JBO PZ;CDMA;PE;JABOATÃO;R CENTRAL, S/N CENTRO;;0.0;CLARO;202210;202210JBO PZ
JBO U11;CDMA;PE;JABOATÃO;R 13, 130 UR 11;;0.0;ATC;202210;202210JBO U11
JBO VE;CDMA;PE;JABOATÃO;R BACHAREL JOSE MARIO DE OLIVEIRA, S/N CANDEIAS;;0.0;Embratel;202210;202210JBO VE
JBO VP;CDMA;PE;JABOATÃO;R INGAZEIRA, S/N PIEDADE;;0.0;Embratel;202210;202210JBO VP
JNE SLS;CDMA;CE;JUAZEIRO DO NORTE;R ARNOBIO BACELAR CANECA, 761 LAGOA SECA;;0.0;Embratel;202210;202210JNE SLS
JPA BAN;CDMA;PB;JOÃO PESSOA;R VALDECI ORTINS DIAS, 480 JARDIM CIDADE UNIVERSITARIA;Sergio Cruz Pereira;92029187.0;Embratel;202210;202210JPA BAN
JPA DIA;CDMA;PB;JOÃO PESSOA;ROD BR-101, KM 1,5 DISTRITO INDUSTRIAL;;0.0;Embratel;202210;202210JPA DIA
JPA EAV;CDMA;PB;JOÃO PESSOA;R ENGENHEIRO AVIDOS, S/N NOVAIS;;0.0;OI;202210;202210JPA EAV
JPA EE;CDMA;PB;JOÃO PESSOA;AV PRESIDENTE EPITACIO PESSOA, 1251 ESTADOS;;0.0;Embratel;202210;202210JPA EE
JPA MAG;CDMA;PB;JOÃO PESSOA;R JOAO BATISTA COELHO MADRUGA, S/N MANGABEIRA;Sergio Cruz Pereira;92029187.0;Embratel;202210;202210JPA MAG
